timestamp,username,ip_address,country,status,device_type,city,latitude,longitude,is_failed,is_success,hour,day_of_week,is_weekend,prev_timestamp,prev_country,prev_lat,prev_lon,prev_device,time_diff_min,geo_dist_km,geo_speed_kmh,ip_failed_count_10m,user_failed_count_10m,ip_distinct_users_10m
2026-07-01 13:39:45,user_16,21.73.167.18,AU,Success,Mobile-Android,Unknown,0.0,0.0,0,1,13,2,0,,,,,,999999.0,0.0,0.0,1.0,0.0,1
2026-07-01 13:40:26,user_20,111.188.199.172,IN,Success,Workstation-Windows,Unknown,0.0,0.0,0,1,13,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 14:04:16,user_15,131.229.51.135,JP,Success,Mobile-iOS,Unknown,0.0,0.0,0,1,14,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 14:11:15,user_2,107.72.189.21,FR,Failed,Workstation-Windows,Unknown,0.0,0.0,1,0,14,2,0,,,,,,999999.0,0.0,0.0,0.0,1.0,1
2026-07-01 15:04:38,user_9,204.58.22.253,IN,Failed,Mobile-iOS,Unknown,0.0,0.0,1,0,15,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 16:09:48,user_18,242.250.9.90,US,Success,Mobile-iOS,Unknown,0.0,0.0,0,1,16,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 16:16:28,user_15,131.229.51.135,JP,Success,Mobile-iOS,Unknown,0.0,0.0,0,1,16,2,0,2026-07-01 14:04:16,JP,0.0,0.0,Mobile-iOS,132.2,0.0,0.0,0.0,1.0,1
2026-07-01 17:05:01,user_3,103.122.211.215,GB,Success,Server-Linux,Unknown,0.0,0.0,0,1,17,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 17:33:21,user_8,192.188.21.161,JP,Success,Laptop-macOS,Unknown,0.0,0.0,0,1,17,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 17:42:23,root,206.81.164.50,JP,Success,Laptop-macOS,Unknown,0.0,0.0,0,1,17,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 18:31:53,user_13,175.190.51.108,US,Success,Mobile-iOS,Unknown,0.0,0.0,0,1,18,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 19:03:20,user_7,236.158.38.130,GB,Success,Workstation-Windows,Unknown,0.0,0.0,0,1,19,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 19:08:58,user_10,236.89.49.219,AU,Success,Workstation-Windows,Unknown,0.0,0.0,0,1,19,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 19:13:12,user_20,111.188.199.172,IN,Success,Workstation-Windows,Unknown,0.0,0.0,0,1,19,2,0,2026-07-01 13:40:26,IN,0.0,0.0,Workstation-Windows,332.76666666666665,0.0,0.0,0.0,0.0,1
2026-07-01 19:42:53,user_13,175.190.51.108,US,Success,Server-Linux,Unknown,0.0,0.0,0,1,19,2,0,2026-07-01 18:31:53,US,0.0,0.0,Mobile-iOS,71.0,0.0,0.0,0.0,0.0,1
2026-07-01 20:15:58,user_17,132.89.60.14,AU,Success,Server-Linux,Unknown,0.0,0.0,0,1,20,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 20:25:54,user_14,55.244.64.249,DE,Failed,Laptop-macOS,Unknown,0.0,0.0,1,0,20,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 21:21:27,user_9,204.58.22.253,IN,Success,Server-Linux,Unknown,0.0,0.0,0,1,21,2,0,2026-07-01 15:04:38,IN,0.0,0.0,Mobile-iOS,376.81666666666666,0.0,0.0,0.0,0.0,1
2026-07-01 21:27:26,user_7,236.158.38.130,GB,Success,Mobile-iOS,Unknown,0.0,0.0,0,1,21,2,0,2026-07-01 19:03:20,GB,0.0,0.0,Workstation-Windows,144.1,0.0,0.0,0.0,0.0,1
2026-07-01 21:36:47,root,206.81.164.50,JP,Success,Server-Linux,Unknown,0.0,0.0,0,1,21,2,0,2026-07-01 17:42:23,JP,0.0,0.0,Laptop-macOS,234.4,0.0,0.0,0.0,1.0,1
2026-07-01 21:44:44,user_17,132.89.60.14,AU,Success,Mobile-Android,Unknown,0.0,0.0,0,1,21,2,0,2026-07-01 20:15:58,AU,0.0,0.0,Server-Linux,88.76666666666667,0.0,0.0,0.0,0.0,1
2026-07-01 21:45:42,user_8,192.188.21.161,JP,Success,Workstation-Windows,Unknown,0.0,0.0,0,1,21,2,0,2026-07-01 17:33:21,JP,0.0,0.0,Laptop-macOS,252.35,0.0,0.0,0.0,0.0,1
2026-07-01 21:56:44,user_1,103.180.93.15,FR,Success,Laptop-macOS,Unknown,0.0,0.0,0,1,21,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 21:59:10,user_14,55.244.64.249,DE,Success,Mobile-Android,Unknown,0.0,0.0,0,1,21,2,0,2026-07-01 20:25:54,DE,0.0,0.0,Laptop-macOS,93.26666666666667,0.0,0.0,0.0,0.0,1
2026-07-01 22:13:31,user_5,100.104.152.131,US,Failed,Mobile-Android,Unknown,0.0,0.0,1,0,22,2,0,,,,,,999999.0,0.0,0.0,0.0,0.0,1
2026-07-01 22:17:47,admin,253.8.175.35,AU,Success,Server-Linux,Unknown,0.0,0.0,0,1,22,2,0,,,,,,999999.0,0.0,0.0,0.0,1.0,1
2026-07-01 22:21:42,user_16,21.73.167.18,AU,Success,Mobile-Android,Unknown,0.0,0.0,0,1,22,2,0,2026-07-01 13:39:45,AU,0.0,0.0,Mobile-Android,521.95,0.0,0.0,0.0,2.0,1
2026-07-01 22:25:06,user_4,75.203.88.117,FR,Success,Mobile-Android,Unknown,0.0,0.0,0,1,22,2,0,,,,,,999999.0,0.0,0.0,0.0,3.0,1
2026-07-01 22:28:40,user_4,75.203.88.117,FR,Success,Mobile-iOS,Unknown,0.0,0.0,0,1,22,2,0,2026-07-01 22:25:06,FR,0.0,0.0,Mobile-Android,3.566666666666667,0.0,0.0,0.0,4.0,1
2026-07-01 22:28:47,user_13,175.190.51.108,US,Success,Server-Linux,Unknown,0.0,0.0,0,1,22,2,0,2026-07-01 19:42:53,US,0.0,0.0,Server-Linux,165.9,0.0,0.0,0.0,5.0,1
2026-07-01 22:35:26,root,206.81.164.50,JP,Success,Server-Linux,Unknown,0.0,0.0,0,1,22,2,0,2026-07-01 21:36:47,JP,0.0,0.0,Server-Linux,58.65,0.0,0.0,0.0,6.0,1
2026-07-01 22:36:45,admin,253.8.175.35,AU,Success,Server-Linux,Unknown,0.0,0.0,0,1,22,2,0,2026-07-01 22:17:47,AU,0.0,0.0,Server-Linux,18.966666666666665,0.0,0.0,0.0,7.0,1
2026-07-01 22:38:51,user_9,204.58.22.253,IN,Success,Laptop-macOS,Unknown,0.0,0.0,0,1,22,2,0,2026-07-01 21:21:27,IN,0.0,0.0,Server-Linux,77.4,0.0,0.0,0.0,8.0,1
2026-07-01 22:40:24,user_18,242.250.9.90,US,Success,Laptop-macOS,Unknown,0.0,0.0,0,1,22,2,0,2026-07-01 16:09:48,US,0.0,0.0,Mobile-iOS,390.6,0.0,0.0,0.0,9.0,1
2026-07-01 22:42:16,user_15,131.229.51.135,JP,Success,Mobile-Android,Unknown,0.0,0.0,0,1,22,2,0,2026-07-01 16:16:28,JP,0.0,0.0,Mobile-iOS,385.8,0.0,0.0,0.0,10.0,1
2026-07-01 22:52:07,user_9,204.58.22.253,IN,Success,Laptop-macOS,Unknown,0.0,0.0,0,1,22,2,0,2026-07-01 22:38:51,IN,0.0,0.0,Laptop-macOS,13.266666666666667,0.0,0.0,0.0,11.0,1
2026-07-01 22:52:56,user_12,208.15.190.190,DE,Success,Laptop-macOS,Unknown,0.0,0.0,0,1,22,2,0,,,,,,999999.0,0.0,0.0,0.0,12.0,1
